administration_id,inkhundla_name,region,water_demand
4588078,Hhukwini,Hhohho,
1143153,Lobamba,Hhohho,
6040072,Madlangempisi,Hhohho,45760040.5
6836470,Maphalaleni,Hhohho,924000.0
1992934,Mayiwane,Hhohho,102320.0
8661594,Mbabane East,Hhohho,10500000.0
4564328,Mbabane West,Hhohho,
1127026,Mhlangatane,Hhohho,49307904.0
9441820,Motshane,Hhohho,
5076096,Ndzingeni,Hhohho,510512.0
2331619,Nkhaba,Hhohho,139691.0
2408937,Ntfonjeni,Hhohho,824256.7
3895892,Piggs Peak,Hhohho,800000.0
7642320,Siphocosini,Hhohho,16000.0
2254118,Timphisini,Hhohho,5885751.5
5926129,Dvokodvweni,Lubombo,9176056.0
3269571,Gilgal,Lubombo,1411027.0
6372964,Lomahasha,Lubombo,28051999.2
6513561,Lubuli,Lubombo,67363208.1
8303156,Lugongolweni,Lubombo,376224.5
1698924,Matsanjeni North,Lubombo,4508001.0
7130003,Mhlume,Lubombo,413734090.7
4867549,Mpolonjeni,Lubombo,16000.1
7408595,Nkilongo,Lubombo,206649942.7
4871142,Siphofaneni,Lubombo,254608935.8
8994467,Sithobela,Lubombo,13623048.0
5084027,Kukhanyeni,Manzini,365527.8
2042786,Kwaluseni,Manzini,268056.0
3984633,Lamgabhi,Manzini,88000.0
3798015,Lobamba Lomdzala,Manzini,38749044.0
4448517,Ludzeludze,Manzini,
7671430,Mafutseni,Manzini,2312850.2
4772971,Mahlangatsha,Manzini,40000.0
5447814,Mangcongco,Manzini,
6232782,Manzini North,Manzini,
8370212,Manzini South,Manzini,6622.6
4291122,Mhlambanyatsi,Manzini,
1162668,Mkhiweni,Manzini,7988775.7
5085602,Mtfongwaneni,Manzini,8785586.8
1013010,Ngwempisi,Manzini,562240.9
3359886,Nhlambeni,Manzini,4472447.3
2765522,Nkomiyahlaba,Manzini,80000.0
2361184,Ntondozi,Manzini,26436163.1
1100004,Phondo,Manzini,80000.0
6207225,Gege,Shiselweni,1992287.9
9690592,Hosea,Shiselweni,
4387750,Kubuta,Shiselweni,6388497.5
9727196,Kumethula,Shiselweni,
1577102,Maseyisini,Shiselweni,
9450137,Matsanjeni South,Shiselweni,53680.0
3359662,Mbangweni,Shiselweni,
5180809,Mtsambama,Shiselweni,304800.0
1561472,Ngudzeni,Shiselweni,
1621199,Nkwene,Shiselweni,1769099.9
1318071,Sandleni,Shiselweni,2010960.0
6477278,Shiselweni,Shiselweni,1240874.4
6083691,Sigwe,Shiselweni,104240.0
7689210,Somntongo,Shiselweni,
1102838,Zombodze Emuva,Shiselweni,2539440.0
