name,region,indicator,month,value
Nkwene,Shiselweni,chirps,Jun 25,5.732
Nkwene,Shiselweni,chirps,Jul 25,5.718
Nkwene,Shiselweni,chirps,Aug 25,5.704
Nkwene,Shiselweni,chirps,Sep 25,5.69
Nkwene,Shiselweni,chirps,Oct 25,5.676
Nkwene,Shiselweni,chirps,Nov 25,36.32
Nkwene,Shiselweni,chirps,Dec 25,36.28
Nkwene,Shiselweni,chirps,Jan 26,36.24
Nkwene,Shiselweni,chirps,Feb 26,36.2
Nkwene,Shiselweni,chirps,Mar 26,36.16
Nkwene,Shiselweni,chirps,Apr 26,39.68
Nkwene,Shiselweni,chirps,May 26,6.824
Nkwene,Shiselweni,ndvi,Jun 25,0.24
Nkwene,Shiselweni,ndvi,Jul 25,0.24
Nkwene,Shiselweni,ndvi,Aug 25,0.24
Nkwene,Shiselweni,ndvi,Sep 25,0.24
Nkwene,Shiselweni,ndvi,Oct 25,0.239
Nkwene,Shiselweni,ndvi,Nov 25,0.479
Nkwene,Shiselweni,ndvi,Dec 25,0.479
Nkwene,Shiselweni,ndvi,Jan 26,0.479
Nkwene,Shiselweni,ndvi,Feb 26,0.479
Nkwene,Shiselweni,ndvi,Mar 26,0.479
Nkwene,Shiselweni,ndvi,Apr 26,0.47
Nkwene,Shiselweni,ndvi,May 26,0.23
Nkwene,Shiselweni,lst,Jun 25,33.66
Nkwene,Shiselweni,lst,Jul 25,33.663
Nkwene,Shiselweni,lst,Aug 25,33.666
Nkwene,Shiselweni,lst,Sep 25,33.669
Nkwene,Shiselweni,lst,Oct 25,33.672
Nkwene,Shiselweni,lst,Nov 25,27.675
Nkwene,Shiselweni,lst,Dec 25,27.678
Nkwene,Shiselweni,lst,Jan 26,27.681
Nkwene,Shiselweni,lst,Feb 26,27.684
Nkwene,Shiselweni,lst,Mar 26,27.687
Nkwene,Shiselweni,lst,Apr 26,25.233
Nkwene,Shiselweni,lst,May 26,31.23
Nkwene,Shiselweni,smap,Jun 25,0.086
Nkwene,Shiselweni,smap,Jul 25,0.086
Nkwene,Shiselweni,smap,Aug 25,0.086
Nkwene,Shiselweni,smap,Sep 25,0.086
Nkwene,Shiselweni,smap,Oct 25,0.086
Nkwene,Shiselweni,smap,Nov 25,0.256
Nkwene,Shiselweni,smap,Dec 25,0.256
Nkwene,Shiselweni,smap,Jan 26,0.256
Nkwene,Shiselweni,smap,Feb 26,0.256
Nkwene,Shiselweni,smap,Mar 26,0.255
Nkwene,Shiselweni,smap,Apr 26,0.211
Nkwene,Shiselweni,smap,May 26,0.041
Nkwene,Shiselweni,precip_station,Jun 25,4.445
Nkwene,Shiselweni,precip_station,Jul 25,4.457
Nkwene,Shiselweni,precip_station,Aug 25,4.469
Nkwene,Shiselweni,precip_station,Sep 25,4.481
Nkwene,Shiselweni,precip_station,Oct 25,4.493
Nkwene,Shiselweni,precip_station,Nov 25,28.552
Nkwene,Shiselweni,precip_station,Dec 25,28.59
Nkwene,Shiselweni,precip_station,Jan 26,28.629
Nkwene,Shiselweni,precip_station,Feb 26,28.667
Nkwene,Shiselweni,precip_station,Mar 26,28.706
Nkwene,Shiselweni,precip_station,Apr 26,61.201
Nkwene,Shiselweni,precip_station,May 26,14.879
Nkwene,Shiselweni,tmax,Jun 25,34.426
Nkwene,Shiselweni,tmax,Jul 25,34.424
Nkwene,Shiselweni,tmax,Aug 25,34.422
Nkwene,Shiselweni,tmax,Sep 25,34.42
Nkwene,Shiselweni,tmax,Oct 25,34.418
Nkwene,Shiselweni,tmax,Nov 25,29.416
Nkwene,Shiselweni,tmax,Dec 25,29.414
Nkwene,Shiselweni,tmax,Jan 26,29.412
Nkwene,Shiselweni,tmax,Feb 26,29.41
Nkwene,Shiselweni,tmax,Mar 26,29.408
Nkwene,Shiselweni,tmax,Apr 26,29.792
Nkwene,Shiselweni,tmax,May 26,34.79
Nkwene,Shiselweni,tmin,Jun 25,10.662
Nkwene,Shiselweni,tmin,Jul 25,10.66
Nkwene,Shiselweni,tmin,Aug 25,10.658
Nkwene,Shiselweni,tmin,Sep 25,10.656
Nkwene,Shiselweni,tmin,Oct 25,10.654
Nkwene,Shiselweni,tmin,Nov 25,15.652
Nkwene,Shiselweni,tmin,Dec 25,15.65
Nkwene,Shiselweni,tmin,Jan 26,15.648
Nkwene,Shiselweni,tmin,Feb 26,15.646
Nkwene,Shiselweni,tmin,Mar 26,15.644
Nkwene,Shiselweni,tmin,Apr 26,15.58
Nkwene,Shiselweni,tmin,May 26,10.578
Nkwene,Shiselweni,spi3,Jun 25,-0.056
Nkwene,Shiselweni,spi3,Jul 25,-0.202
Nkwene,Shiselweni,spi3,Aug 25,-0.348
Nkwene,Shiselweni,spi3,Sep 25,-0.494
Nkwene,Shiselweni,spi3,Oct 25,-0.64
Nkwene,Shiselweni,spi3,Nov 25,-0.786
Nkwene,Shiselweni,spi3,Dec 25,-0.932
Nkwene,Shiselweni,spi3,Jan 26,-1.078
Nkwene,Shiselweni,spi3,Feb 26,-1.224
Nkwene,Shiselweni,spi3,Mar 26,-1.37
Nkwene,Shiselweni,spi3,Apr 26,-1.619
Nkwene,Shiselweni,spi3,May 26,-1.765
Nkwene,Shiselweni,iks_submissions,Jun 25,10
Nkwene,Shiselweni,iks_submissions,Jul 25,11
Nkwene,Shiselweni,iks_submissions,Aug 25,11
Nkwene,Shiselweni,iks_submissions,Sep 25,12
Nkwene,Shiselweni,iks_submissions,Oct 25,12
Nkwene,Shiselweni,iks_submissions,Nov 25,13
Nkwene,Shiselweni,iks_submissions,Dec 25,13
Nkwene,Shiselweni,iks_submissions,Jan 26,14
Nkwene,Shiselweni,iks_submissions,Feb 26,14
Nkwene,Shiselweni,iks_submissions,Mar 26,15
Nkwene,Shiselweni,iks_submissions,Apr 26,14
Nkwene,Shiselweni,iks_submissions,May 26,14
Nkwene,Shiselweni,iks_drought,Jun 25,8
Nkwene,Shiselweni,iks_drought,Jul 25,8
Nkwene,Shiselweni,iks_drought,Aug 25,9
Nkwene,Shiselweni,iks_drought,Sep 25,9
Nkwene,Shiselweni,iks_drought,Oct 25,10
Nkwene,Shiselweni,iks_drought,Nov 25,10
Nkwene,Shiselweni,iks_drought,Dec 25,10
Nkwene,Shiselweni,iks_drought,Jan 26,11
Nkwene,Shiselweni,iks_drought,Feb 26,11
Nkwene,Shiselweni,iks_drought,Mar 26,11
Nkwene,Shiselweni,iks_drought,Apr 26,11
Nkwene,Shiselweni,iks_drought,May 26,11
Hosea,Shiselweni,chirps,Jun 25,6.964
Hosea,Shiselweni,chirps,Jul 25,6.95
Hosea,Shiselweni,chirps,Aug 25,6.936
Hosea,Shiselweni,chirps,Sep 25,6.922
Hosea,Shiselweni,chirps,Oct 25,6.908
Hosea,Shiselweni,chirps,Nov 25,39.84
Hosea,Shiselweni,chirps,Dec 25,39.8
Hosea,Shiselweni,chirps,Jan 26,39.76
Hosea,Shiselweni,chirps,Feb 26,39.72
Hosea,Shiselweni,chirps,Mar 26,39.68
Hosea,Shiselweni,chirps,Apr 26,67.76
Hosea,Shiselweni,chirps,May 26,16.68
Hosea,Shiselweni,ndvi,Jun 25,0.248
Hosea,Shiselweni,ndvi,Jul 25,0.248
Hosea,Shiselweni,ndvi,Aug 25,0.248
Hosea,Shiselweni,ndvi,Sep 25,0.249
Hosea,Shiselweni,ndvi,Oct 25,0.249
Hosea,Shiselweni,ndvi,Nov 25,0.489
Hosea,Shiselweni,ndvi,Dec 25,0.489
Hosea,Shiselweni,ndvi,Jan 26,0.489
Hosea,Shiselweni,ndvi,Feb 26,0.489
Hosea,Shiselweni,ndvi,Mar 26,0.489
Hosea,Shiselweni,ndvi,Apr 26,0.548
Hosea,Shiselweni,ndvi,May 26,0.308
Hosea,Shiselweni,lst,Jun 25,31.788
Hosea,Shiselweni,lst,Jul 25,31.785
Hosea,Shiselweni,lst,Aug 25,31.782
Hosea,Shiselweni,lst,Sep 25,31.779
Hosea,Shiselweni,lst,Oct 25,31.776
Hosea,Shiselweni,lst,Nov 25,25.773
Hosea,Shiselweni,lst,Dec 25,25.77
Hosea,Shiselweni,lst,Jan 26,25.767
Hosea,Shiselweni,lst,Feb 26,25.764
Hosea,Shiselweni,lst,Mar 26,25.761
Hosea,Shiselweni,lst,Apr 26,26.607
Hosea,Shiselweni,lst,May 26,32.61
Hosea,Shiselweni,smap,Jun 25,0.08
Hosea,Shiselweni,smap,Jul 25,0.08
Hosea,Shiselweni,smap,Aug 25,0.08
Hosea,Shiselweni,smap,Sep 25,0.08
Hosea,Shiselweni,smap,Oct 25,0.08
Hosea,Shiselweni,smap,Nov 25,0.25
Hosea,Shiselweni,smap,Dec 25,0.25
Hosea,Shiselweni,smap,Jan 26,0.25
Hosea,Shiselweni,smap,Feb 26,0.251
Hosea,Shiselweni,smap,Mar 26,0.251
Hosea,Shiselweni,smap,Apr 26,0.25
Hosea,Shiselweni,smap,May 26,0.08
Hosea,Shiselweni,precip_station,Jun 25,5.202
Hosea,Shiselweni,precip_station,Jul 25,5.189
Hosea,Shiselweni,precip_station,Aug 25,5.177
Hosea,Shiselweni,precip_station,Sep 25,5.165
Hosea,Shiselweni,precip_station,Oct 25,5.152
Hosea,Shiselweni,precip_station,Nov 25,30.574
Hosea,Shiselweni,precip_station,Dec 25,30.535
Hosea,Shiselweni,precip_station,Jan 26,30.495
Hosea,Shiselweni,precip_station,Feb 26,30.456
Hosea,Shiselweni,precip_station,Mar 26,30.417
Hosea,Shiselweni,precip_station,Apr 26,27.177
Hosea,Shiselweni,precip_station,May 26,4.087
Hosea,Shiselweni,tmax,Jun 25,34.934
Hosea,Shiselweni,tmax,Jul 25,34.936
Hosea,Shiselweni,tmax,Aug 25,34.938
Hosea,Shiselweni,tmax,Sep 25,34.94
Hosea,Shiselweni,tmax,Oct 25,34.942
