datetime,temp_mean,temp_max,temp_min,rain_total,hum_mean,wind_mean
2025-10-30,21.85,22.1,21.3,0.0,75.27,1.27
2025-10-31,23.1,26.1,20.5,0.0,75.36,0.97
2025-11-01,24.84,35.0,17.1,34.4,72.49,0.98
2025-11-02,17.12,19.8,15.4,40.4,92.08,0.52
2025-11-03,18.8,24.7,15.6,0.0,80.54,0.71
2025-11-04,20.81,30.2,15.8,4.8,80.46,0.71
2025-11-05,20.5,25.2,17.8,0.0,80.33,0.6
2025-11-06,19.66,25.9,15.6,1.2,79.38,1.03
2025-11-07,16.42,19.1,14.3,7.6,85.25,0.65
2025-11-08,19.36,25.9,14.9,0.4,77.42,0.72
2025-11-09,20.49,26.5,14.8,0.0,76.62,0.86
2025-11-10,21.06,26.3,18.3,0.0,78.54,1.28
2025-11-11,22.39,28.8,17.5,0.0,72.11,1.04
2025-11-12,19.61,26.8,16.8,0.0,83.57,0.27
