temp_out,temp_hi,temp_low,hum_out,dew_pt,wind_speed,wind_dir,wind_run,wind_hi_speed,wind_hi_dir,wind_chill,heat_index,thw_index,bar,rain,rain_rate,heat_dd,cool_dd,temp_in,hum_in,dew_in,heat_in,emc_in,air_density_in,wind_samp,wind_tx,iss_recept,arc_int,datetime
22.1,22.1,22.1,74.0,17.2,1.8,SE,0.11,3.1,S,22.1,22.6,22.6,1013.2,0.0,0.0,0.0,0.003,,54,,,,,11,1,47.8,1,2025-10-30 12:51:00
22.0,22.1,22.0,74.0,17.2,2.2,SE,0.13,5.8,SSE,22.0,22.5,22.5,1013.2,0.0,0.0,0.0,0.003,29.2,55,19.3,30.8,9.85,1.1422,23,1,100.0,1,2025-10-30 12:52:00
22.0,22.0,21.9,74.0,17.2,2.2,ESE,0.13,3.1,SE,22.0,22.5,22.5,1013.2,0.0,0.0,0.0,0.003,29.2,56,19.5,30.8,10.05,1.1421,22,1,95.7,1,2025-10-30 12:53:00
21.9,22.0,21.9,75.0,17.3,2.2,SE,0.13,3.6,SSE,21.9,22.4,22.4,1013.2,0.0,0.0,0.0,0.003,29.1,56,19.4,30.8,10.05,1.1423,22,1,95.7,1,2025-10-30 12:54:00
21.9,21.9,21.9,75.0,17.3,3.6,SSE,0.21,4.5,SSE,21.7,22.4,22.2,1013.2,0.0,0.0,0.0,0.003,29.2,56,19.5,30.8,10.05,1.1421,24,1,100.0,1,2025-10-30 12:55:00
21.9,21.9,21.9,75.0,17.3,2.7,SSE,0.16,4.0,SSE,21.9,22.4,22.4,1013.1,0.0,0.0,0.0,0.002,29.1,55,19.1,30.6,9.85,1.1428,21,1,91.3,1,2025-10-30 12:56:00
21.8,21.9,21.8,76.0,17.4,3.1,S,0.19,4.9,S,21.8,22.4,22.4,1013.1,0.0,0.0,0.0,0.002,28.9,53,18.3,30.2,9.57,1.1448,22,1,95.7,1,2025-10-30 12:57:00
21.8,21.8,21.8,76.0,17.4,2.7,SSE,0.16,4.0,SE,21.8,22.4,22.4,1013.2,0.0,0.0,0.0,0.002,28.7,53,18.1,29.8,9.58,1.1461,22,1,95.7,1,2025-10-30 12:58:00
21.8,21.8,21.7,76.0,17.4,1.8,SSE,0.11,4.5,SE,21.8,22.3,22.3,1013.0,0.0,0.0,0.0,0.002,28.4,54,18.2,29.5,9.75,1.1466,21,1,91.3,1,2025-10-30 12:59:00
21.7,21.8,21.7,77.0,17.5,1.8,E,0.11,4.9,SE,21.7,22.3,22.3,1013.1,0.0,0.0,0.0,0.002,28.2,54,18.0,29.1,9.75,1.1481,23,1,100.0,1,2025-10-30 13:00:00
21.5,21.7,21.3,76.0,17.1,1.3,SSE,4.83,4.5,SSE,21.5,21.9,21.9,1012.7,0.0,0.0,0.0,0.132,24.1,65,17.1,24.8,11.84,1.1646,779,1,56.9,60,2025-10-30 14:00:00
,,,,,0.0,,0.0,0.0,,,,,1012.4,0.0,0.0,,,24.3,65,17.3,25.0,11.83,1.163,0,1,0.0,60,2025-10-30 15:00:00
,,,,,0.0,,0.0,0.0,,,,,1012.4,0.0,0.0,,,23.8,66,17.1,24.6,12.05,1.1653,0,1,0.0,60,2025-10-30 16:00:00
,,,,,0.0,,0.0,0.0,,,,,1012.8,0.0,0.0,,,24.7,66,17.9,25.4,12.02,1.1614,0,1,0.0,60,2025-10-30 17:00:00
