administration_id,inkhundla_name,region,water_demand,cattle,population,land_use_dvi_agri,ipc_phase,under_five,elderly,rainfed_cropland,rangeland,boreholes,taps
4588078,Hhukwini,Hhohho,,,,,,,,,,,
1143153,Lobamba,Hhohho,,,,,,,,,,,
6040072,Madlangempisi,Hhohho,,,,,,,,,,,
6836470,Maphalaleni,Hhohho,,,,,,,,,,,
1992934,Mayiwane,Hhohho,,,,,,,,,,,
8661594,Mbabane East,Hhohho,,,,,,,,,,,
4564328,Mbabane West,Hhohho,,,,,,,,,,,
1127026,Mhlangatane,Hhohho,,,,,,,,,,,
9441820,Motshane,Hhohho,,,,,,,,,,,
5076096,Ndzingeni,Hhohho,,,,,,,,,,,
2331619,Nkhaba,Hhohho,,,,,,,,,,,
2408937,Ntfonjeni,Hhohho,,,,,,,,,,,
3895892,Piggs Peak,Hhohho,,,,,,,,,,,
7642320,Siphocosini,Hhohho,,,,,,,,,,,
2254118,Timphisini,Hhohho,,,,,,,,,,,
5926129,Dvokodvweni,Lubombo,,,,,,,,,,,
3269571,Gilgal,Lubombo,,,,,,,,,,,
6372964,Lomahasha,Lubombo,,,,,,,,,,,
6513561,Lubuli,Lubombo,,,,,,,,,,,
8303156,Lugongolweni,Lubombo,,,,,,,,,,,
1698924,Matsanjeni North,Lubombo,,,,,,,,,,,
7130003,Mhlume,Lubombo,,,,,,,,,,,
4867549,Mpolonjeni,Lubombo,,,,,,,,,,,
7408595,Nkilongo,Lubombo,,,,,,,,,,,
4871142,Siphofaneni,Lubombo,,,,,,,,,,,
8994467,Sithobela,Lubombo,,,,,,,,,,,
5084027,Kukhanyeni,Manzini,,,,,,,,,,,
2042786,Kwaluseni,Manzini,,,,,,,,,,,
3984633,Lamgabhi,Manzini,,,,,,,,,,,
3798015,Lobamba Lomdzala,Manzini,,,,,,,,,,,
4448517,Ludzeludze,Manzini,,,,,,,,,,,
7671430,Mafutseni,Manzini,,,,,,,,,,,
4772971,Mahlangatsha,Manzini,,,,,,,,,,,
5447814,Mangcongco,Manzini,,,,,,,,,,,
6232782,Manzini North,Manzini,,,,,,,,,,,
8370212,Manzini South,Manzini,,,,,,,,,,,
4291122,Mhlambanyatsi,Manzini,,,,,,,,,,,
1162668,Mkhiweni,Manzini,,,,,,,,,,,
5085602,Mtfongwaneni,Manzini,,,,,,,,,,,
1013010,Ngwempisi,Manzini,,,,,,,,,,,
3359886,Nhlambeni,Manzini,,,,,,,,,,,
2765522,Nkomiyahlaba,Manzini,,,,,,,,,,,
2361184,Ntondozi,Manzini,,,,,,,,,,,
1100004,Phondo,Manzini,,,,,,,,,,,
6207225,Gege,Shiselweni,,,,,,,,,,,
9690592,Hosea,Shiselweni,,,,,,,,,,,
4387750,Kubuta,Shiselweni,,,,,,,,,,,
9727196,Kumethula,Shiselweni,,,,,,,,,,,
1577102,Maseyisini,Shiselweni,,,,,,,,,,,
9450137,Matsanjeni South,Shiselweni,,,,,,,,,,,
3359662,Mbangweni,Shiselweni,,,,,,,,,,,
5180809,Mtsambama,Shiselweni,,,,,,,,,,,
1561472,Ngudzeni,Shiselweni,,,,,,,,,,,
1621199,Nkwene,Shiselweni,,,,,,,,,,,
1318071,Sandleni,Shiselweni,,,,,,,,,,,
6477278,Shiselweni,Shiselweni,,,,,,,,,,,
6083691,Sigwe,Shiselweni,,,,,,,,,,,
7689210,Somntongo,Shiselweni,,,,,,,,,,,
1102838,Zombodze Emuva,Shiselweni,,,,,,,,,,,
