		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
11/11/25	1:00 a	18.2	18.3	18.1	84	15.5	0.9	ENE	3.22	3.1	E	18.2	18.6	18.6	1008.4	0.00	0.0	0.005	0.000	24.1	64	16.8	24.7	11.64	1.1602	1334	1	97.5	60
11/11/25	2:00 a	17.9	18.1	17.7	87	15.7	0.9	NE	3.22	3.6	NE	17.9	18.3	18.3	1007.9	0.00	0.0	0.016	0.000	23.8	64	16.6	24.5	11.65	1.1608	1337	1	97.7	60
11/11/25	3:00 a	17.6	17.7	17.5	88	15.6	0.4	ENE	1.61	3.6	ENE	17.6	18.0	18.0	1007.8	0.00	0.0	0.030	0.000	23.7	64	16.5	24.3	11.65	1.1615	1333	1	97.4	60
11/11/25	4:00 a	18.0	18.2	17.7	83	15.1	0.9	NE	3.22	4.5	NNE	18.0	18.3	18.3	1007.6	0.00	0.0	0.014	0.000	23.5	64	16.3	24.1	11.65	1.1622	1336	1	97.7	60
11/11/25	5:00 a	18.2	18.3	18.1	85	15.6	1.3	ENE	4.83	4.0	ENE	18.2	18.6	18.6	1007.9	0.00	0.0	0.007	0.000	23.3	64	16.1	23.9	11.65	1.1636	1333	1	97.4	60
11/11/25	6:00 a	18.4	18.7	18.2	85	15.8	1.3	ENE	4.83	4.5	NE	18.4	18.8	18.8	1008.2	0.00	0.0	0.000	0.002	23.2	64	16.0	23.8	11.65	1.1643	1331	1	97.3	60
11/11/25	7:00 a	19.4	20.2	18.7	79	15.7	1.8	ENE	6.44	5.4	E	19.4	20.0	20.0	1008.4	0.00	0.0	0.000	0.046	23.4	64	16.2	24.0	11.65	1.1637	1339	1	97.9	60
11/11/25	8:00 a	21.6	22.5	20.2	74	16.7	1.8	ENE	6.44	4.9	ENE	21.6	21.9	21.9	1008.7	0.00	0.0	0.000	0.134	23.8	63	16.4	24.4	11.45	1.1620	1334	1	97.5	60
11/11/25	9:00 a	22.5	23.5	21.7	68	16.3	0.9	ENE	3.22	3.6	ENE	22.5	22.9	22.9	1008.4	0.00	0.0	0.000	0.174	24.3	62	16.6	24.8	11.23	1.1594	1336	1	97.7	60
11/11/25	10:00 a	23.5	23.7	23.3	68	17.3	0.4	E	1.61	2.7	SSE	23.5	24.3	24.3	1007.9	0.00	0.0	0.000	0.215	24.7	62	16.9	25.2	11.22	1.1571	1331	1	97.3	60
11/11/25	11:00 a	24.6	26.3	23.4	62	16.8	0.9	SSE	3.22	4.0	ENE	24.6	25.1	25.1	1007.0	0.00	0.0	0.000	0.259	25.1	62	17.3	25.6	11.21	1.1540	1348	1	98.5	60
11/11/25	12:00 p	27.2	28.1	26.3	56	17.7	1.8	ENE	6.44	6.3	ENE	27.2	27.8	27.8	1006.2	0.00	0.0	0.000	0.370	25.9	61	17.8	26.5	10.98	1.1491	1333	1	97.4	60
11/11/25	1:00 p	27.9	28.8	27.4	55	18.1	1.8	ENE	6.44	4.0	ENE	27.9	28.8	28.8	1005.5	0.00	0.0	0.000	0.400	26.6	60	18.2	27.3	10.76	1.1452	1337	1	97.7	60
11/11/25	2:00 p	26.8	27.9	26.3	58	17.9	1.8	ENE	6.44	4.5	ESE	26.8	27.5	27.5	1004.7	0.00	0.0	0.000	0.354	26.6	61	18.5	27.4	10.95	1.1436	1336	1	97.7	60
11/11/25	3:00 p	26.6	26.8	26.3	59	17.9	1.8	ENE	6.44	4.5	ENE	26.6	27.3	27.3	1004.3	0.00	0.0	0.000	0.345	26.3	61	18.2	27.1	10.96	1.1446	1332	1	97.4	60
11/11/25	4:00 p	26.9	27.1	26.6	58	17.9	1.8	ENE	6.44	4.0	ENE	26.9	27.6	27.6	1004.3	0.00	0.0	0.000	0.356	26.3	60	17.9	27.0	10.77	1.1449	1334	1	97.5	60
11/11/25	5:00 p	26.8	27.6	26.1	59	18.1	0.9	NE	3.22	3.1	ENE	26.8	27.6	27.6	1004.0	0.00	0.0	0.000	0.354	26.4	59	17.8	27.1	10.57	1.1444	1342	1	98.1	60
11/11/25	6:00 p	25.6	26.2	24.8	63	18.0	0.9	NE	3.22	3.6	E	25.6	26.2	26.2	1004.7	0.00	0.0	0.000	0.301	26.2	59	17.5	26.7	10.59	1.1467	1337	1	97.7	60
11/11/25	7:00 p	23.9	24.9	23.1	69	17.9	0.4	NE	1.61	1.8	NE	23.9	24.8	24.8	1005.4	0.00	0.0	0.000	0.231	25.8	61	17.7	26.4	10.98	1.1488	1337	1	97.7	60
11/11/25	8:00 p	22.4	23.1	21.9	75	17.8	0.4	NE	1.61	2.2	NNW	22.4	23.1	23.1	1005.8	0.00	0.0	0.000	0.171	25.4	62	17.6	26.0	11.20	1.1509	1330	1	97.2	60
11/11/25	9:00 p	21.7	21.9	21.6	74	16.9	0.4	NE	1.61	1.8	NE	21.7	22.1	22.1	1005.9	0.00	0.0	0.000	0.141	25.2	62	17.4	25.7	11.20	1.1522	1321	1	96.6	60
11/11/25	10:00 p	21.2	21.7	20.9	78	17.2	0.4	ENE	1.61	2.7	NE	21.2	21.7	21.7	1006.5	0.00	0.0	0.000	0.118	24.9	63	17.4	25.6	11.41	1.1537	1330	1	97.2	60
11/11/25	11:00 p	20.7	21.2	20.2	83	17.7	0.4	SW	1.61	2.2	WSW	20.7	21.6	21.6	1006.1	0.00	0.0	0.000	0.100	24.8	63	17.3	25.4	11.42	1.1541	1340	1	98.0	60
12/11/25	12:00 a	19.7	20.2	19.2	87	17.5	0.4	SSW	1.61	2.2	SSW	19.7	20.6	20.6	1005.9	0.00	0.0	0.000	0.058	24.6	64	17.3	25.2	11.63	1.1546	1336	1	97.7	60
01/11/25	1:00 a	19.1	19.5	18.7	89	17.3	0.0	E	0.00	0.9	E	19.1	19.8	19.8	1004.1	0.00	0.0	0.000	0.032	23.0	70	17.2	23.7	13.01	1.1586	1338	1	97.8	60
01/11/25	2:00 a	18.2	18.7	17.9	91	16.7	0.0	S	0.00	1.8	SSW	18.2	18.7	18.7	1004.3	0.00	0.0	0.007	0.000	22.8	70	17.1	23.5	13.03	1.1597	1334	1	97.5	60
01/11/25	3:00 a	17.6	17.9	17.4	94	16.6	0.0	NE	0.00	0.9	ENE	17.6	18.1	18.1	1003.8	0.00	0.0	0.032	0.000	22.6	70	16.9	23.2	13.04	1.1604	1335	1	97.6	60
01/11/25	4:00 a	17.5	17.8	17.3	93	16.4	0.0	NW	0.00	1.8	N	17.5	17.9	17.9	1003.8	0.00	0.0	0.035	0.000	22.4	70	16.7	22.9	13.05	1.1612	1342	1	98.1	60
