#,Inkhundla name,Inkhundla ID,DVI-agri (raw),Normalised (0–1),Source,Reference date
1,Hhukwini,SWZ001001,0.598664290326249,0.06899069212265543,dynamic world,2026-07-22
2,Lobamba,SWZ001002,0.636468419341878,0.2134027512163663,dynamic world,2026-07-22
3,Madlangempisi,SWZ001003,0.6213322282748774,0.15558238672872757,dynamic world,2026-07-22
4,Maphalaleni,SWZ001004,0.6171774347444065,0.13971104398210615,dynamic world,2026-07-22
5,Mayiwane,SWZ001005,0.5898562248414458,0.03534381527576912,dynamic world,2026-07-22
6,Mbabane East,SWZ001006,0.5867154517948715,0.023346038455826668,dynamic world,2026-07-22
7,Mbabane West,SWZ001007,0.6253248337389703,0.1708341698336916,dynamic world,2026-07-22
8,Mhlangatane,SWZ001008,0.6561217365947941,0.2884785719380182,dynamic world,2026-07-22
9,Ndzingeni,SWZ001010,0.6013639782125504,0.07930352029044498,dynamic world,2026-07-22
10,Nkhaba,SWZ001011,0.6190057106513636,0.14669507179044275,dynamic world,2026-07-22
11,Motshane,SWZ001009,0.6305200322863374,0.19067986762283423,dynamic world,2026-07-22
12,Ntfonjeni,SWZ001012,0.617317835568154,0.14024737619194108,dynamic world,2026-07-22
13,Lamgabhi,SWZ003003,0.5903243730309355,0.03713214490445204,dynamic world,2026-07-22
14,Lobamba lomdzala,SWZ003004,0.7306473048781102,0.5731668070901423,dynamic world,2026-07-22
15,Piggs peak,SWZ001013,0.6113317847327758,0.11738061667423853,dynamic world,2026-07-22
16,Ludzeludze,SWZ003005,0.6063308674899588,0.09827707493958088,dynamic world,2026-07-22
17,Mafutseni,SWZ003006,0.5826786265451084,0.007925335434768692,dynamic world,2026-07-22
18,Mahlangatsha,SWZ003007,0.6230195468306096,0.1620279563880514,dynamic world,2026-07-22
19,Mangcongco,SWZ003008,0.5970172869144499,0.06269912661842311,dynamic world,2026-07-22
20,Siphocosini,SWZ001014,0.6028106217849509,0.08482970969104392,dynamic world,2026-07-22
21,Timphisini,SWZ001015,0.61525132424934,0.13235328730638554,dynamic world,2026-07-22
22,Dvokodvweni,SWZ002001,0.6319511091888698,0.1961465922266656,dynamic world,2026-07-22
23,Gilgal,SWZ002002,0.5813656157291106,0.0029096241754995996,dynamic world,2026-07-22
24,Lomahasha,SWZ002003,0.5897230866634675,0.03483522642776559,dynamic world,2026-07-22
25,Lubuli,SWZ002004,0.7177093071381762,0.523743557756684,dynamic world,2026-07-22
26,Lugongolweni,SWZ002005,0.5885314386197636,0.03028312187762181,dynamic world,2026-07-22
27,Matsanjeni North,SWZ002006,0.5806039355175834,0.0,dynamic world,2026-07-22
28,Mhlume,SWZ002007,0.8423835213283323,1.0,dynamic world,2026-07-22
29,Mpolonjeni,SWZ002008,0.5864627738757342,0.022380806891437333,dynamic world,2026-07-22
30,Nkilongo,SWZ002009,0.8189150637625876,0.910350314394985,dynamic world,2026-07-22
31,Siphofaneni,SWZ002010,0.7329814627465955,0.5820833078220699,dynamic world,2026-07-22
32,Sithobela,SWZ002011,0.6124809539485833,0.12177045178016697,dynamic world,2026-07-22
33,Kukhanyeni,SWZ003001,0.6199967370603529,0.1504808001768638,dynamic world,2026-07-22
34,Kwaluseni,SWZ003002,0.6547436816010758,0.28321439142734,dynamic world,2026-07-22
35,Manzini South,SWZ003010,0.58317981776621,0.009839889694411859,dynamic world,2026-07-22
36,Mhlambanyatsi,SWZ003011,0.6268943869310133,0.17682987491200006,dynamic world,2026-07-22
37,Mkhiweni,SWZ003012,0.6084644612689797,0.10642741933107729,dynamic world,2026-07-22
38,Mtfongwaneni,SWZ003013,0.601368530480426,0.07932090998819989,dynamic world,2026-07-22
39,Ngwempisi,SWZ003014,0.6106658162067422,0.11483661186205628,dynamic world,2026-07-22
40,Manzini North,SWZ003009,0.6006891170070228,0.07672554537526001,dynamic world,2026-07-22
41,Nhlambeni,SWZ003015,0.6522739445658831,0.2737799772519804,dynamic world,2026-07-22
42,Nkomiyahlaba,SWZ003016,0.6130802515416156,0.12405977312345003,dynamic world,2026-07-22
43,Ntondozi,SWZ003017,0.6067420376458252,0.09984774804838355,dynamic world,2026-07-22
44,Phondo,SWZ003018,0.610520892964871,0.11428300398074509,dynamic world,2026-07-22
45,Gege,SWZ004001,0.6222301519640967,0.15901246202065047,dynamic world,2026-07-22
46,Hosea,SWZ004002,0.6006314004974085,0.0765050678715023,dynamic world,2026-07-22
47,Kubuta,SWZ004003,0.5871017337100155,0.024821638296615104,dynamic world,2026-07-22
48,Kumethula,SWZ004004,0.6078414170543349,0.10404738571342466,dynamic world,2026-07-22
49,Maseyisini,SWZ004005,0.630029250364576,0.1888050769654904,dynamic world,2026-07-22
50,Matsanjeni South,SWZ004006,0.6122900103358472,0.12104104573368434,dynamic world,2026-07-22
51,Somntongo,SWZ004014,0.6290294185042521,0.1849857116882959,dynamic world,2026-07-22
52,Mtsambama,SWZ004007,0.5833616625967709,0.010534538324089205,dynamic world,2026-07-22
53,Ngudzeni,SWZ004008,0.5881396364048944,0.028786434450083137,dynamic world,2026-07-22
54,Nkwene,SWZ004009,0.5960426781380896,0.05897611371295987,dynamic world,2026-07-22
55,Sandleni,SWZ004010,0.5843423972369686,0.014280952075796601,dynamic world,2026-07-22
56,Shiselweni,SWZ004011,0.605549654772615,0.09529283644396135,dynamic world,2026-07-22
57,Mbangweni,SWZ004012,0.6194265994558221,0.14830287021045724,dynamic world,2026-07-22
58,Sigwe,SWZ004013,0.6093776779816066,0.10991591408821659,dynamic world,2026-07-22
59,Zombodze Emuva,SWZ004015,0.6240050070072459,0.16579242172473657,dynamic world,2026-07-22
