#,Inkhundla name,Inkhundla ID,Population count,Normalised (0–1),Source
1,Hhukwini,SWZ001001,13992.45154882247,0.18343748296072396,world pop
2,Lobamba,SWZ001002,40431.95811164405,0.9242976987790713,world pop
3,Madlangempisi,SWZ001003,36796.66277918524,0.8224332529290861,world pop
4,Maphalaleni,SWZ001004,17229.40020011083,0.27413987450076027,world pop
5,Mayiwane,SWZ001005,19996.00535893244,0.35166279234261255,world pop
6,Mbabane East,SWZ001006,43133.58987323158,1.0,world pop
7,Mbabane West,SWZ001007,20411.88079289804,0.3633160190406686,world pop
8,Mhlangatane,SWZ001008,28843.82288643906,0.5995870865186371,world pop
9,Ndzingeni,SWZ001010,25758.2562114055,0.5131265624783841,world pop
10,Nkhaba,SWZ001011,20771.71406981682,0.37339889099454754,world pop
11,Motshane,SWZ001009,31662.23821808906,0.6785617748665699,world pop
12,Ntfonjeni,SWZ001012,26457.73251727479,0.532726556362341,world pop
13,Lamgabhi,SWZ003003,13260.07150195707,0.16291549484069126,world pop
14,Lobamba lomdzala,SWZ003004,29171.86779391328,0.6087792180121654,world pop
15,Piggs peak,SWZ001013,21949.76061629927,0.40640887991386826,world pop
16,Ludzeludze,SWZ003005,28895.6939315014,0.6010405627228279,world pop
17,Mafutseni,SWZ003006,40082.68954965465,0.9145108602236993,world pop
18,Mahlangatsha,SWZ003007,14205.4720030879,0.18940651946092582,world pop
19,Mangcongco,SWZ003008,7446.012111188109,0.0,world pop
20,Siphocosini,SWZ001014,16320.63767002528,0.24867548080766716,world pop
21,Timphisini,SWZ001015,17933.75120677902,0.2938764621550034,world pop
22,Dvokodvweni,SWZ002001,39654.46271523977,0.9025115354931111,world pop
23,Gilgal,SWZ002002,17049.89039393437,0.2691098383527933,world pop
24,Lomahasha,SWZ002003,14084.21164050923,0.18600868833360173,world pop
25,Lubuli,SWZ002004,11603.01182578335,0.11648310071120976,world pop
26,Lugongolweni,SWZ002005,33673.61131051607,0.7349223691842448,world pop
27,Matsanjeni North,SWZ002006,14866.65435507421,0.20793348019765392,world pop
28,Mhlume,SWZ002007,25357.17297308389,0.501887827224455,world pop
29,Mpolonjeni,SWZ002008,13644.83718242052,0.17369699654498116,world pop
30,Nkilongo,SWZ002009,21573.95656513901,0.3958784916183657,world pop
31,Siphofaneni,SWZ002010,31250.081496525,0.667012750040278,world pop
32,Sithobela,SWZ002011,23866.54401055015,0.4601189805833939,world pop
33,Kukhanyeni,SWZ003001,22596.2859094638,0.4245251358692433,world pop
34,Kwaluseni,SWZ003002,40812.69895177726,0.9349664206147728,world pop
35,Manzini South,SWZ003010,25007.92733242345,0.49210163094660375,world pop
36,Mhlambanyatsi,SWZ003011,17024.66618737674,0.2684030320033734,world pop
37,Mkhiweni,SWZ003012,32785.3871558313,0.7100334803779704,world pop
38,Mtfongwaneni,SWZ003013,20925.5037651762,0.3777082250823025,world pop
39,Ngwempisi,SWZ003014,20822.04796419511,0.3748092947690459,world pop
40,Manzini North,SWZ003009,29500.23052867698,0.6179802553297763,world pop
41,Nhlambeni,SWZ003015,26941.22503449516,0.5462744782875607,world pop
42,Nkomiyahlaba,SWZ003016,14734.06601146716,0.20421822822703492,world pop
43,Ntondozi,SWZ003017,21736.8704631766,0.4004434945760857,world pop
44,Phondo,SWZ003018,19289.73129068845,0.331872318667059,world pop
45,Gege,SWZ004001,23471.11173086365,0.4490385905854189,world pop
46,Hosea,SWZ004002,18593.13078981914,0.3123529075847468,world pop
47,Kubuta,SWZ004003,20230.43592380783,0.35823176058244427,world pop
48,Kumethula,SWZ004004,10970.52192495699,0.09876012984880894,world pop
49,Maseyisini,SWZ004005,37204.72550701412,0.8338675601423621,world pop
50,Matsanjeni South,SWZ004006,13796.05551518958,0.17793427859806274,world pop
51,Somntongo,SWZ004014,13337.66376446065,0.16508970411375953,world pop
52,Mtsambama,SWZ004007,15930.55520658605,0.23774499776843683,world pop
53,Ngudzeni,SWZ004008,8815.995956468105,0.038388255275119305,world pop
54,Nkwene,SWZ004009,10462.78032385771,0.0845327254425816,world pop
55,Sandleni,SWZ004010,10626.31987779969,0.08911525987605934,world pop
56,Shiselweni,SWZ004011,13122.46538412172,0.15905964004570136,world pop
57,Mbangweni,SWZ004012,34748.6280226849,0.7650453637830038,world pop
58,Sigwe,SWZ004013,13857.69873041961,0.17966158033989155,world pop
59,Zombodze Emuva,SWZ004015,15065.68495401762,0.21351050759554852,world pop
